 @RELATION wicked

@ATTRIBUTE document STRING
@ATTRIBUTE class {Yes, no}

@DATA
"برنامج حماية من الفيروسات و العمل على ابقائه محدث دائماً  عدم تثبيت  برامج غير معروفة المصدر",no 
"برامج الحماية من الفيروسات عدم حفظ كافة بياناتك مثل كلمات المرور و الحسابات وغيرها في مكان يسهل تخمينه",no 
"حماية الجهاز من الفيروسات كيف يمكن اختراق المواقع",no    
"وضع كلمة مرور قوية ",no
"حماية جهازك عن طريق تجميد النظام ببرنامج",no
"حماية الجهاز و التخلص من ملفات التجسس بواسطة برنامج",no
"حماية جهازك من الفيروسات عن طريق التلخص من الفيروس",no
" حماية جهازك من الفيروسات عن طريق برامج قوية جدا",no
"حماية جهازك عن طريق الجدار الناري",no
"حماية جهازك من سيرفرات الدونلود المخفية بأستخدام برنامج",no
"دورة حماية الاجهزة من الاختراق",no
"دورة حماية الاجهزة من الاختراق دورة شاملة فيما يتعلق بحماية اجهزة الحاسب من قرصنة",no
"الحماية من الاختراق المتقدم تفعيل الجدار الناري  ",no
"استخدام برنامج لمكافحة برامج التجسس و أداة إزالة",no
"برنامج يقوم بحماية شبكة الويفي الخاصة بك من الاختراق من خلال تشفيرة بشكل مميز و  بذلك لا يتمكن اي شخص من الإتصال بشبكتك",no
"يقوم بحماية خصوصيتك من خلال اخفاء الاي بي",no
"برنامج جميل جدا و مجانى فى عالم حمايه الواى فاي",no
"القدرات التي يتباهي بها الهاكرز مثل اختراق مواقع و اجهزة و تدمير سيرفرات",Yes
"قسم شروحات اختراق المواقع هو قسم يختص بشروحات اختراق المواقعو السيرفرات للوصول إلى معلومات محمية",Yes
"اختراق الاجهزة و الدمج و التشفير",Yes
" اختراق الايميل من هكر الايميل و برامج هكر الايميل و شروحات اختراق الايميل و برامج اختراق الايميل",Yes
"طلب المساعدة لاختراق موقع او بريد إلكتروني",Yes
"كيف تمنع المواقع من التجسس عليك",no
"أكبر منتدى هكر عربي مختص بتعليم الاختراق",Yes
"الخاصه باختراق الشبكات و التجسس عليها و معرفة معلومات عنها و طرق كثيرة",Yes
"قسم يتضمن أفضل الدورات الإحترافية في عالم الإختراق",Yes
"تعليم فنون اختراق الاجهزة  و كل ما يخص اختراق الاجهزة و التجسس عليها",Yes
"يختص بحماية الاجهزة من التجسس أو الاختراق و الفيروسات حماية الاجهزة ",no
"منتدى حماية الأجهزة ",no
"برامج الماسنجر تسجيل الإختراقات برامج هكر",Yes
"شرح طريقة اختراق الفيس بوك  عن طريق الصفحات المزورة ",Yes
"لإستخدامها فيما بعد في كسر كلمات المرور على طريقة الفيديو",Yes
"مدونة اختراق  لاتتعلم لتخترق اخترق للتتعلم الاختراق",Yes
" يمكنك من خلالها فتح بعض الشبكات",Yes
"يعمل على فك تشفير الوايرلس للجوال و يوفر لك كلمة سر تلك الشبكة",Yes
"برنامج كسر كلمة السر للوايرلس للاندرويد",Yes
"اليك البرنامج الذي تستطيع من خلاله ان تعرف كلمة سر الوايرلس لاي مودم لتتمكن من الوصول الى الانترنت بكسر كلمة السر",Yes
"ليتمكن من فك شفرة الوايرلس و اعطاك كلمة السر",Yes
"لكشف باسسورد الشبكة افتح شبكات الواي فاي المغلقة بكلمة سر و مشفرة مع هذا البرنامج القوي",Yes
"من أشهر برامج الاختراق للوايرلس للأندرويد للتحميل برابط مباشر",Yes
"حماية الاجهزة الشخصية اللوحية",no
"إختراق المواقعو السيرفرات شروحات إختراق المواقعو السيرفرات و المنتديات و أجدد أدوات إختراق ",Yes
"طريقة عمل قفل لمتصفح جوجل كروم بكلمة سر بدون برامج",no
"دورة اختراق المواقع الاحترافية",Yes
"دورة مبسطة للمبتدئين توضح عملية الاختراق و عن كيفية الاختراق و الطرق المتبعة التقليدية",Yes
"بهذه الطريقة تستطيع الحفاظ على خصوصيتك و حماية المتصفح من المتطفلين",no
"دورة اختراق المواقع للمبتدئين",Yes
"شرح استغلال الثغرات في اختراق المواق",Yes
"الاختراق عن طريق الثغرات" , Yes
"اجراء فحص لشبكتك لمعرفة ما اذا كانت هناك اجهزة متصلة با و من ثم ايقافها و منعها",no
"موقع لتدريب الاختراق",Yes
"اختبارات الاختراق و فحص القدرات",Yes
"سنتعلم طريقة إختراق المواقع بطريقة جد سهلة و سريعة",Yes
"طريقة فحص مدى قوة كلمة المرور الخاصة بك بدون برامج",no
"كيفية اختراق المواقع الالكترونية بثغرة",Yes
"كيفية حظر المواقع الإلكترونية من الشبكة لمدة الهجوم",Yes
"للأمن و الحماية بإطلاق خدمة على مدونتها الرسمية تسمح لك بفحص مدى قوة كلمة المرور",no
"إختراق مواقع بدون برامج للمبتدئين",Yes
"تطرح مواضيع عن الإختراق بشكل عام أو مواضيع ليس لها تصنيف في المنتديات الأخرى",Yes
"كيف تحمي خصوصيتك على الانترنت",no
"تحميل برنامج اختراق الفيس بوك من هنا",Yes
"كيف تمنع الهكر من اختراق بريدك اللالكتروني وحساباتك",no
"اقوي برنامج على الاطلاق لسرقه باسورد الفيس بوك بدون تعب",Yes
"سيقوم الموقع تلقائيا بإظهار مدى قوى كلمة المرور التى أدخلتها",no
"طرق عديدة لإخترق المواقع و هي استخدام الثغرات",Yes
"مختص بتعليم فنون اختراق المواقع و الدمج و التشفير و كل ما يخص اختراق المواقع و التجسس عليها",Yes
"التجسس على اي شخص في الشبكة و شاهد المواقع التي يزورها",Yes
"تحميل جميع برامج الاختراق البريد و الدردشا",Yes
 "طريقة فحص مدى قوة كلمة المرور الخاصة بك بدون برنامج",no
"ثلاث برامج لحماية شبكة الواي فاي من الاختراق",no
"اخترق اي ايميل حتى ان لم تكن محترف",Yes
"تطرقنا لموضوع مهم جدا خاص ببرامج اختراق الفيسبوك",Yes
"يمكن أن نطلق عليها ثغرة حيث يمكنك التوصل الى حساب الضحية",Yes
"حصل على اخر تحديثات ويندوز لحماية و الامان",no
"برنامج حماية ضد الفيروسات و ملفات التجسس الزيارات",no
"إحتراف الإختراق طريقك إلى الإحتراف يبدأ من هنا",Yes
"موضوع حماية الخصوصة و كيف تحمي خصوصيتك على الانترنت",no
"اخترق البريد  لا نهائي من الطرق و الحيل",Yes
"اخطر برنامج للسرقة الاميل على المنتدى",Yes
"برنامج جديد لسرقة الباسوردات",Yes
"تحميل برنامج جالب باسوورد",Yes
"اختراق باسوورد الواير لس فتح باسوورد واير لس باسوورد الواير لس اختراق الواير لس طريقة فتح وايرلس بدون كلمة سر",Yes
"برنامج كاشف الباسوورد للراوتر رمز الواي فاي الرقم السري للوايرلس و فتح اي راوتر انترنت",Yes
"اول معهد في العالم متخصص في تعليم أساليب و فنون القرصنة العالمية",Yes
"تعلم الهاكر خطوة بخطوة مع اقوى هاكر عربي",Yes
"سلسلة حلقات تعليم فنون الهاكرز للمبتدئين",Yes
"الدخول و البدء في عالم الاختراق تهكير",Yes
"الأختراق و التحكم بجهاز الضحية",Yes
"معلومات هامة جدا عن الاختراق و كيفية التعامل اذا كان جهازك مخترق",no
"برنامج اختراق أجهزة قوي له ميزة التجسس",Yes
"كيف تحمي بياناتك من التجسس",no
"هاك بالثغرات",Yes
"إذا كنت تريد تأمين معلوماتك",no
"اضع بين ايديكم اليوم شرح عملي للاختراق خطوه بخطوه",Yes
"كيف نخترق جهاز معين",Yes
"وجود ثغره في جهازه لكي تمكننا من الدخول عبرها",Yes
"و أمن المعلومات الرئيسية قسم البرامج  قسم الحماية",no
"اختراق البريد عدد لانهائي من الطرق و الحيل",Yes
"إذا كنت تريد منع المخترقين و الهاكرز من التجسس على حركتك على الإنترنت",no
"كيفية إختبار أمان شبكتنا  اللاسلكية واي فاي بهدف تقويها و منع إختراقها",no
"أمان شبكة الاتصال الواي فاي لديك",no
"فتح الثغره هي عن طريق برامج الاختراق",Yes
"اختبر أمان شبكة الاتصال الواي فاي لديك",no
"اهم شئ ان تفحص ثغرات جهازك دائما و تتاكد منها",no
"هدفنا هو فتح ثغره للدخول عن طريقها الى جهاز الضحيه و نستخدم برامج الاختراق",Yes
"ان تخترق جهاز الضحيه بأحد برامج الأختراق و تذهب الى قائمه الباسووردات المحفوضه",Yes
"اهم الخطوات لحماية البيانات من التجسس و السرقة",no
"يعتبر مكتبة برامج هاك متكامله",Yes
"مكتبة الهكر الكامل اكثر من مليون برنامج هكر مميز",Yes
"لا تخزن كلمات المرور او كلمات  سر على جهازك",no
"كيف تخترق أي كمبيوتر يعمل على لينكس بأسهل طريقة",Yes
"قائمة لأفضل تطبيقات مكافحة الفيروسات",no
"أمن و حماية الشبكات",no
"تدمير و  تفجير البريد هو سهل و بسيط عن طريق إغراق البريد بإرسال",Yes
"ايجاد ثغرة و من ثم اختراقة",Yes
"بعض الحيل لأختراق سيرفر او موقع معين هذي خطوات راح تتعلم منها تخترق أي موقع",Yes
"كيف اعرف ان حساب الفيس بوك مخترق",no
"أهم خطوة في طريق الحماية يجب أن يتم وضع كلمة مرور قوية",no
"غره و نخترق عن طريقها",Yes
"حصريا على منتديات تعليم الهكر و الأحتراف كيفية اختراق المواقع و المنتديات للمبتدئين",Yes
"طرق مضمونة لاسترجاع حساب الفيس بوك المخترق",no
"اختراق المواقع المصابة بثغرة",Yes
"كيف تحمي بريدك من الاختراق و كيف تستعيده في حال اختراقه",no
"لكي تستطيع اختراق موقع لا بد أن تعرف اسم المستخدم و كلمة المرور الخاصة بالموقع",Yes
"كيف تختار برنامج حماية مناسب لك",no 
"طريقة اكتشاف الثغرة",Yes
"طريقة جديدة لمعرفة اي باسورد فايس بوك في دقائق و بدون برامج",Yes
"يتصدى للاختراق المتقدم ويمنع الاختراق",no  
"منتديات تعليم الهكر و الأحتراف",Yes
"هذا الموقع قادر على الإختراق اي حساب فايس بوك بكل سهولة من اختيارك انت و بدون مهارات",Yes
"تفعيل جدار حماية الويندوز من اهم الاشياء",no    
"خاص للمبتدئين تعلم اختراق المواقع و المنتديات",Yes
"يوجد طرق كثيرة للحماية من الهكرز  و من  هذه الطرق الحماية عن طريق البرامج و الحماية",no
"برامج الحماية من ملفات التجسس و الحماية من محاولات الاختراق",no
"الاختراق عن طريق البحث عن الثغرات الموجودة في الموقع هي تعد طريقة مهمة جداً من طرق اختراق المواقع",Yes
"كلمه سر يصعب تخمينها",no
"برامج لمكافحة ملفات التجسس",no
"كيفية اختراق الرواتر برنامج اختراق الوايرلس",Yes
"تشغيل التحديث التلقائي من اجل سد الثغرات",no
" الكامل لتعليم الهاكر من البدايه و حتى النهايه مكون من ســـبعة كتب",Yes
"عن طريق تعلّم البرمجة و اكتشاف الثغرات",Yes
"يحميك البرنامج من خطر دخول الفيروسات",no
"خلاله تقوم بصنع ملف التجسس و الذي سوف ترسله الي الضحية",Yes
"ابتعد عن صفحات التحميل المجهولة",no
"حماية الكومبيوتر من الفايروسات",no
"كاشف الباسوورد للراوتر رمز الواي فاي الرقم السري للوايرلس و فتح اي راوتر انترنت",Yes
"اول معهد في العالم متخصص في تعليم أساليب و فنون القرصنة العالمية",Yes
"تعلم الهاكر خطوة بخطوة مع اقوى هاكر عربي",Yes
"سلسلة حلقات تعليم فنون الهاكرز للمبتدئين",Yes
"نقدم لكم العرض الخاص بحماية الموقع و بأعلى الإمكانيات الفنية",no
"لحماية المواقع تتعرض المواقع و بشكل مستمر لهجمات المتطفلين و الهكر",no
"كيف تكشف بانك مخترق و كيف تتخلص من برامج التجسس",no
"تحديث نظام التشغيل و البرامج بشكل دائم",no
"تخصيص كلمات مرور قوية و مركبة من ارقام و حروف",no
"عندما تبدأ في مجال الهاكر يجب أن تعلم أنه لا يوجد توقّف",Yes
"كيفيه حماية الراوتر او المودم من الاختراق",no
"يعمل السيرفر او الخادم على فتح ثغره داخل جهازك",Yes
"صنع خصيصا ليكون مكافح ملفات تجسس",no
"طريقة لإخفاء الملفات في أسرع وقت ممكن بدون تنصيب أي برنامج",no
"كل ما تحتاجه لحماية جهازك من مضاد فيروسات و جدار ناري لحمايتك من المخترقين",no
"حمايتك من ملفات التجسس الخبيثة التي تسيطر على حاسوبك",no
"ازالة ملفات التجسس الخطيرة و ملفات التروجان من جهازك بأمان",no
"دورة الحماية يتحدث عن فحص الملفات المشكوك فيه",no
"برنامج جديد لسرقة الباسوردات",Yes
"كشف و تجنب صفحات المزورة",no
"للحماية من الاختراق",no
"لازم تحط كلمه سر صعب تخمين",no
"منع الاختراق",no
"كيف تسترجع صفحتك",no
"كيف تعرف اذا كان جهازك مخترقا",no
"حميل برنامج جالب باسووردات",Yes
"كيفية حماية جهازك من الاختراق بواسطة الجدار الناري",no
"حماية جهازك من الفيروسات عن طريق التلخص من الفيروس بعينة",no
"سلسله احتراف و اختراق الفيس بوك",Yes
"تمنع الهكرز من إختراقك حتى و إن كان بحاسوبك ثغرات أمنية",no
"طريقه اغلاق اي حساب فيس بوك بطريقه مضمونه و جديده",Yes
"احدث ثغره لاختراق الفيس بوك",Yes
"مدونة هكر العراقي سكاي نت لتعليم الاختراق",Yes
"كيقيه اغلاق حساب الفيسبوك خلال ساعه",Yes
"كيفيه اختراق الروتر لاجهزه الاندرويد",Yes
"نصائح لانشاء كلمات مرور قوية طريقة ادارة كلمات السر لتفادي الاختراق و نسيانها",no 
"كيف احمي نفسي  من  الاختراق",no
"اسهل طريقة لاختراق بريد هوتميل",Yes
"و نبدأ دورتنا في اختراق المواقع للمحترفين والمبتدئين",Yes
"و فروا الحماية لمؤسساتكم و عزّزوا قدرتكم الإنتاجية عبر خدمة الاستضافة الآمنة للمواقع الإلكترونية",no
"أمن البيانات أو أمن المعلومات الرقمية",no
"كيف يتم اختراق المواقع او المنتديات   يتم اختراق المواقع او المنتديات",Yes
"استضافة أمنة للمواقع الإلكترونية",no
"في إختراق الأجهزه و البريد و الفيروسات",Yes
"لتوفير الأمن و الحماية بطريقة فريدة و شاملة للمحتوى على مواقعكم الإلكترونية",no
"تعلم أسهل طريقة لسرقة باسورد",Yes
"شروحات عن كيفية اكتشاف الثغرات و استغلالها",Yes
"اختبار امن و جودة مواقع الانترنت",no
"قسم البرامج هو قسم مختص بادث اخبار البرامج و تحميل البرامج  شروحات برامج الهكرز",Yes
"حلول الشبكات و تأمين السيرفرات",Yes
"لا ينحصر مجال أمن المعلومات في حماية الشبكات فقط هناك مجالات أخرى للحماية",no
"انواع الفيروسات و ملفات التجسس و كيفية صناعة الملفات الملغومة",Yes
"التوصيات العامة لأمان الشبكة اللاسلكية",no
"شرح بالصور اختراق الايميل بدون ارسال اي شي او معرفة الباسورد",Yes
"الأمان و الخصوصية والحسابات",no
"انفراد تام حصريا سرقة ايميل الياهو من دون برامج",Yes
"يمكنك الاطلاع على جميع صفحات الدعم المخصصة للأمان و الخصوصية والحسابات",no
"أقوم بإزالة أحد الفيروسات الموجودة على الكمبيوتر",no
"تشغيل الكمبيوتر في الوضع الآمن",no
"يمكنك الان سرقة اى ايميل بدون برامج",Yes
"إعادة تشغيل الكمبيوتر في  الوضع الآمن  مع تمكين الاتصال بالشبكة",no
"استرداد الوضع الطبيعي و منع الإصابة بالفيروسات",no
"الخطوات الرئيسية لتأمين الشبكات من الأختراق و الثغرات الأمنية",no
"كيف تأمن الشبكات اللاسلكية",no
"كيف تحمي الشبكة اللاسلكية الخاصة بك حتى لا يتم استغلالها",no
"اسهل و اضمن طريقة لسرقة باسورد الياهو بدون برامج",Yes
"وسائل التأمين و الحماية من أمور الاختراق و التجسس",no
"نظم تأمين الشبكات و حماية المعلومات",no
"الهدف الأولي منه كان تأمين الخصوصية للبيانات في الشبكات اللاسلكية",no
"يحمي البيانات من التغير من قبل طرف ثالث",no
"تأمين الخوادم السيرفرات",no
"شرح سرقة ايميل ياهو او ماسنجر بالصور",Yes
"طريقة معرفة الجهاز مخترق ام لا و كيفية ايقاف الاختراق",no
"لتعرف على كيفية حماية الكمبيوتر من الفيروسات",no
"طرق اختراق اجهزة الكمبيوترو السيرفرات و طرق استغلال الثغرات البرمجية",Yes
"كيف تقوم بتامين حساب فيس بوك من السرقة و حمايته",no
"أسرع طريقة لسرقة ايميل الياهو بدون برامج للياهو فقط",Yes
"تثبيت جدآر آلحمايه آلشهير",no
"خطوات تامين حساب فيس بوك من السرقة",no
"لتوفير الحد الأدنى من الحماية لنفسه من الهجمات التي يمكن أن يتعرض لها",no
"كتاب تأمين الشبكات اللاسلكية",no
"تنفيد طريقة حماية و تأمين حساب الفيس بوك برقم الهاتف",no
"تتوفر بين أيدينا في معظم الأحيان أدوات حماية تحفظ بياناتنا من العبث و التلف",no
"مواضيع الحماية من الاختراق وكشف التلغيم",no
"كيفية حماية البيانات و تأمين الأمن اللازم لها",no
"اقوى شرح لحماية الجهاز من الاختراق و تحدى كبار الهكرز",no
"كيف تحمي نفسك من الهكر",no
"برنامج مجاني للحماية من الفايروسات و ملفات التجسس و جميع الملفات الضارة",no
"تشفير جميع البيانات المرسلة على الإنترنت",no
"تحميل برنامج التشفير احد برامج حماية البيانات و الملفات",no
"جميع البرامج التي تحمي الحاسوب و المستخدم من القرصنة و الاختراق",no
"تحميل برنامج الجدار الناري لحماية الشبكات و الانترنيت",no
"لحماية الكومبيوتر من الفايروسات ",no
"حماية البيانات و أمن الإنترنت",no
"يعمل على حماية نظا م الكومبيوتر ",no
"أمن و حماية المعلومات و البرمجيات",no
"لحماية جميع الملفات على الكمبيوتر",no
"جدران النار نوع من أنواع أدوات أمن الشبكات تستخدم لحماية شبكة حواسب معينة من التدخل من خارج هذه الشبكة",no
"طرق لحماية نفسك و بياناتك على الإنترنت",no
"تم عملية التحميل و التنصيب يمكن إعداد و تشغيل جدار النار عبر الخطوات التالية",no
"لحماية الجهاز من الاختراق",no
"أفضل طريقة للحماية من الاختراق",no
"وضع كلمات مرور صعبة جداً وقوية",no
"طرق و إجراءات حماية تقنية المعلومات",no
"العديد من النصائح و الأدوات التي ستُساعدك في تأمين حساباتك على الشبكات الاجتماعية",no
"أمن المعلومات في البيئة الرقمي",no
"كسر احتكار أختراق المواقع تعلم الاختراق بكل سهوله للراغبين بتعلم هكر المواقع",no
"عشر نصائح للحفاظ على امن المعلومات و الحاسوب",no
"عشر تلميحات للعمل الحاسوبي الآمن",no
"استعمل كلمات مرور قوية",no
"تأمين الشبكات و حماية المعلومات",no
"أهم شي بأختراق المواقع  هو الذكاء و أستعمال مهارات العقل بأختراق المواقع",Yes
"أقدم لكم كيفية حماية المواقع و المنتديات من الإختراق",no
"حماية البيانات من الاختراق المادي",no
"حلول تأمين جديدة لمواكبة عمليات اختراق البيانات",no
"أسهل طريقة اختراق الاجهزه بدون برامج",Yes
"دورة اختراق المواقعو السيرفرات",Yes
"لكي تستطيع اختراق موقع لا بد أن تعرف اسم المستخدم وكلمة المرور الخاصة بالموقع",Yes
"كيف تختار برنامج حماية مناسب لك",no 
"دروة اختراق المواقعو السيرفرات هذه الدورة سيتم بدئها من الصفر حتى الاحتراف",Yes
"حماية الحاسوب من البرمجيات الخبيثة و من المخترقين",no
"دمر اي موقع بدون برنامج",Yes
"كيفية عمل حماية مضاعفة لحساب",no
"نصائح لحماية خصوصيتك على الإنترنت",no
"خطوات أساسية لتأمين حساب فيسبوك",no
"أفضل طريقة لحماية فيسبوك من الاختراق والسرقة",no
"نقوم بحماية حسابتنا الشخصية و نقوم بتأمينها ضد المخترقين",no
"شرح طريقة حماية حساب ياهو من الاختراق",no
"لحماية كافة حساباتك حماية أي بريد إليكتروني",no
"ادخل عنوان البريد الالكتروني للضحية التي تريد الاختراق",Yes
"اختراق ايميل الياهو بدون برامج",Yes
"كيفية حماية الايميل من الاختراق و استراجاع الايميل عند الاختراق",no
"اختراق الياهو مسنجر يكون من خلال ثغرات في الشركة او برامج للأختراق او عن طريق اختراق الجهاز",Yes
"اختراق حساب الياهو بدون برامج طريقة احترافية",Yes
"حيث يوفر حماية رائعة لحسابك",no
"خبير عالمي يشرح أفضل ممارسات حماية الأجهزة المحمولة",no
"الشرح الشامل عن اختراق المواقع",Yes
"فحص الملفات المخفية في ويندوز لزيادة مستوى الحماية و الأمان",no
"تطبيق لحماية أجهزة أندرويد من البرمجيات الخبيثة",no
"طرقي في الاختراق و الشلات و البرامج الي استخدمها",Yes
"مكنك حماية حسابك و ايضاً يكون اقل عرضه للايقاف لسبب هام و هو انك من خلال تفعيل الهاتف تثبت",no
"يمكن للمستخدمين زيادة الأمان في حساباتهم على ياهو",no
"قسم خاص بحماية المنتديات و المواقع",no
"جميع طرق اختراق المواقع مهم جدا",Yes
"استرجاع المنتدى المخترق حماية المنتدى من الاختراق",no
"أجعل نفسك قرصان او مخترق أيميلات",Yes
"برنامج يقوم بسرقة الكلمات السرية من المواقع التي عليها حماية بكلمة سرية",Yes
"لفك كلمات السرية و اسماء المستخدمين للمواقع و البريد الالكتروني",Yes
"أستبدل كلمة أيميل الأولى بالأيميل المراد سرقته",Yes
"الدرس الأول من دروس اختراق المواقع",Yes
"برنامج لايجاد الكلمة السرية للمواقع حتى تتمكن من تخريب محتوياته",Yes
"طريقة اختراق ايميل ياهو او هوتميل بالدوس و الحصول على الباسوورد مع الشرح بالصور",Yes
"كيفيه اختراق حساب اي شخص معك بالدردشه",Yes
"برنامج لفك الصفحات و كلماتها السرية",Yes
"شرح طرق اختراق المواقع خطوة بخطوة بالتفصيل",Yes
"كيفية اختراق اي شخص بسهولة ",Yes
"كيف تحصل على ثغرات له",Yes
"اشهر  طرق يقوم الهاكرز باختراق حسابك علي الفيس بوك من خلالهم",Yes
"ستتعلم كيفية استغلال هذه الثغرات",Yes
"تعليم الهكر و كيف نقوم بالاختراق",Yes
"كيفية الحفاظ على أمان جهاز الكمبيوتر و الاجهزة الاخرى",no
"كيف اخترق جهاز من خلال المعرفة بثغرات",Yes
"اليوم نتعلم الاختراق عن طريق الدوس اقدم لك الشرح",Yes
"مساعدتك في الحفاظ على أمان جهازك الجوّال",no
"شرح اختراق اى جهاز عن طريق ثغرة",Yes
"مساعدتك في الوقاية من البرامج الضارة",no
"برامج هكر و اختراق جديدة برامج اختراق الحاسبة و اختراق و سرقة الايميل برامج تهكير",Yes
"لا ترسل كلمة المرور عبر البريد الإلكترون ولا تشاركها مع الآخرين",no
"شرح اختراق الايميل عن طريق شاشة الدوس  بدون برنامج",Yes
"اخترق اي حساب فيسبوك و احصل علي الرقم السري فورا",Yes
"هذا الموقع قادر على الإختراق اي حساب فايس بوك بكل سهولة من اختيارك انت و بدون مهارات ",Yes
"شرح تلغيم المواقع بمركز رفع مخفي",Yes
"الموقع سهل الاستخدام فقط ادخل اسم الضحية و البريد الالكتروني الخاص بك لتستقبل فيه كلمة السر المراد الحصول عليها",Yes
"شرح اختراق المواقع بالتفصيل",Yes
" البحث عن الثغرات في الموقع المراد اختراق",Yes
"الاختراق عن طريق البحث عن الثغرات المو جودة في الموقع",Yes
"اقدم لكم طريقة جديدة لمعرفة اي باسورد فايس بوك في دقائق و بدون برامج",Yes
"تعد طريقة مهمة جداً من طرق اختراق المواقع ",Yes
"الهدف المطلوب و هو تدمير جميع المواقع ",Yes
"الحفاظ على أمان جهازك",no
" نتعرف كيف تتم عملية استغلال بعض من أنواع الثغرات ",Yes
"إزالة البرامج الضارة من جهاز الكمبيوتر أو المتصفح",no
"طريقة تدمير و اغلاق المواقع نهائياً بسهوله",Yes
"أصبح تأمين المواقع الإلكترونية من الخدمات الأساسية في مجال أمن الشبكات",no
"كيفية حماية المواقع و المنتديات من الاختراق",no
"طريقة سحب ايميل و باسوردات و كلمات سر الواي فاي من جهاز الضحية",Yes
"شرح حصري لضمان ان حسابك مؤمن من الاختراق ",no
"طريقة اغلاق حسابات الفيسبوك عن طريق انشاء حساب ",Yes
"للمحترفين و   المبتدئين كيفية اختراق اي موقع بسهولة ",Yes
"افضل موقع لاختراق الفيس بوك عن طريق الصفحات المزورة",Yes
"كيفية الاختراق عن طريق الصفحات المزورة",Yes
"طريقة اكتشاف كلمة مرور الواي فاي بكل سهولة و بدون برامج",Yes
"خدمة حماية السيرفرات و  المواقع  بأحدث الأساليب على أيدي خبرات عالية بمجال أمن المواقع و الشبكات",no
"هل تريد تدمير مواقع",Yes
"ترغب بوضع حمايه مناسبه له ",no
"طريقة تدمير الموقع بكل سهولة",Yes
"بالحماية القصوى للمواقع من الاختراق و العبث و التخريب و سرقة البيانات لأننا فريق من المحترفين للأمن الإلكتروني",no
"اشرح لكم ثغره جديده و سهله اخترق موقع بكل سهوله ",Yes
"حماية المواقع الشخصية و المنتديات من الاختراق و التخريب و سرقة البيانات",no
"راجع تشغيل جدار حماية",no
"حماية المواقع الاخبارية من الاختراق و من  التخريب و سرقة البيانات",no
"حماية مواقع الجامعات الحكومية و الأهلية من الاختراق و التخريب و سرقة البيانات",no
"حماية مواقع الشركات و المؤسسات من الاختراق و التخريب و سرقة البيانات",no
"حماية مواقع القنوات الفضائية من الاختراق و التخريب و سرقة البيانات",no
"حماية المواقع الحكومية من الاختراق و التخريب و سرقة البيانات",no
"زيادة مستوى تأمين الشبكة ",no
"التوصيات العامة لأمان الشبكة اللاسلكية",no
"إرشادات عامة حول الأمان لكافة الشبكات المنزلية و شبكات المكتب الصغير",no
"يتم تصميمها لحمايتها من الفيروسات",no
"للمساعدة في الحفاظ على أمان أجهزة الكمبيوتر الموجودة على الشبكة",no
" تتميز الأطلس بالحماية القصوى للمواقع ",no
"استخدام جدار حماية",no
"يمكن لجدار الحماية أن يساعد في منع المتطفلين أو البرامج الضارة",no
"يمكن لجدار الحماية أيضًا أن يساعد في إيقاف الكمبيوتر عن إرسال برامج ضارة إلى أجهزة الكمبيوتر الأخرى",no
"تشغيل برامج الحماية من الفيروسات على كل كمبيوتر",no 
"تأكد من تحديث برامج الحماية من الفيروسات و تعيينها لفحص الكمبيوتر بشكل منتظم ",no
"و هو برنامج مجاني للحماية",no
"للبحث عن برنامج آخر للحماية من الفيروسات",no
"المحافظة على حماية الشبكة بشكل جيد من المتسللين",no 
"فهناك بعض الإجراءات الاحتياطية الإضافية الخاصة بالأمان التي يجب تنفيذها",no
" استخدام مفتاح أمان الشبكة",no
"في الحصول على أقصى درجات أمن وحماية",no 
"هكر عربي مختص بتعليم الاختراق",Yes 
"احترف اختراق المواقع و المنتديات بواسطه",Yes 
"الاول في اختراق المواقع",no
"و هو طريقة تدمير المواقع و إغلاقها",Yes
"للحمايه من الأختراق و تخفيف الحمل عن السيرفر إعداد و حماية و تأمين",no
"حماية السيرفرات و المواقع بتغطية شاملة ",no 
"حاول تغيير كلمة مرورك بشكل دوري و لا تحفظها في أي مكان على جهازك",no
"خطوات حماية حساب الفيس بوك و ربطه بالموبايل لمنع الاختراق",no
"حماية بريدك الذي سجلت به في الفيس بوك",no
"إستخدام نظام الروابط الآمنة",no
"جعل كلمة المرور قوية على الحساب الخاص بك",no
"أقدم لكم كيفية حماية المواقع والمنتديات من الإختراق"no
"حماية البيانات من الاختراق المادي",no
"دورة أحترافية  في  أختراق",Yes
"جميع طرق و  عمليات اختراق",Yes
"اختراق الشبكات الاسلك ية و فك الشفرات و اختراق",Yes
"هتم بجميع طرق عمليات الاختراق",Yes
"سوف  نعلمك الهكر",Yes
"دورة اختراق المواقع و السيرفرات اكثر من رائعة",Yes
"برنامج تهكير حساب على النت",Yes
"كيفيه اختراق  المواقع  عن طريق الدوس باحتراف",Yes
"عالم الاختراق المواقع",Yes
"برنامجا سارق الايميلات",Yes
"اهم  موقع للصفحات المزورة",Yes
"القسم الخاص بختراق الايميل و الفيس و طرقه و الخدع",Yes
"  اختَراق المنتديات و المواقع و جميع الثغرات و طرق استغلاله ",Yes
"طرق الحماية منه و كيف تعمل فايروس  مع دروس بالحماية و  التحصين من الهكر",no
"دورة مهمة جدا اختراق المواقع و السرفيرات",Yes
"الان  و حصريـاً دورة اختراق الأجهزة",Yes
"قـسـم  إخـتـراق الـمـواقـع و الشبكات",Yes
